Epoch: 61, Train Loss: 31.7618, Val Loss: 27.5111, In domain: kasidaily.co.za, Out domain: kasaiaily.co.za, In domain validation: laroche-posay.co.uk, Out domain validation: lalhchc-popyc.co.uk
Epoch: 62, Train Loss: 31.4827, Val Loss: 27.4510, In domain: sweetcold.ru, Out domain: swswtltcd.ru, In domain validation: reflection-training.mihanblog.com, Out domain validation: cleltoionrn-niailg.gananbgbe.com
Epoch: 63, Train Loss: 31.6912, Val Loss: 27.4366, In domain: zeitgeistasia.wordpress.com, Out domain: ezeztitiatia.wopdrrers.com, In domain validation: iseenlab.com, Out domain validation: eeisbab.com
Epoch: 64, Train Loss: 31.7736, Val Loss: 27.6370, In domain: ts3a.com, Out domain: ta3s.com, In domain validation: aglocoptr.com, Out domain validation: aecectror.com
Epoch: 65, Train Loss: 31.7358, Val Loss: 27.6323, In domain: glori.co.kr, Out domain: glgri.ck.kr, In domain validation: zohradating.com, Out domain validation: hohdadating.com
Epoch: 66, Train Loss: 31.5982, Val Loss: 27.5462, In domain: empreintesucree.fr, Out domain: emeieiesntuercg.gr, In domain validation: jaguarzambia.com, Out domain validation: gajazrzrmamc.com
Epoch: 67, Train Loss: 31.7338, Val Loss: 27.5781, In domain: ikc.edu.tr, Out domain: ic.cds.tr, In domain validation: ccsecotours.com, Out domain validation: basccetosos.com
Epoch: 68, Train Loss: 31.4320, Val Loss: 27.5291, In domain: physiqueacademy.co.uk, Out domain: psysysueadedemy.co.uk, In domain validation: forwinstock.com.tw, Out domain validation: foininocock.com.tu
Epoch: 69, Train Loss: 31.5704, Val Loss: 27.5303, In domain: celebritypornphoto.com, Out domain: elelrytitororhoho.com, In domain validation: wow-kow.com, Out domain validation: ow-kok.com
Epoch: 70, Train Loss: 31.4899, Val Loss: 27.4865, In domain: gudangsiki.com, Out domain: gunanasisi.com, In domain validation: bhaklol.com, Out domain validation: chcklkl.com
Epoch: 71, Train Loss: 31.5995, Val Loss: 27.5052, In domain: 1more.com, Out domain: 1rere.com, In domain validation: pwo.su, Out domain validation: pwo.su
Epoch: 72, Train Loss: 31.5074, Val Loss: 27.5738, In domain: loux.ir, Out domain: yux.ir, In domain validation: origins.org.ua, Out domain validation: origigo.ora.aa
Epoch: 73, Train Loss: 31.4914, Val Loss: 27.4681, In domain: coloringsuite.com, Out domain: aororgninuete.com, In domain validation: cepmuzikindir.com, Out domain validation: aepepzizindid.com
Epoch: 74, Train Loss: 31.5408, Val Loss: 27.5056, In domain: bellaandre.com, Out domain: elalandrd.com, In domain validation: gtek.org.uk, Out domain validation: tgkrkrg.uk
Epoch: 75, Train Loss: 31.5742, Val Loss: 27.4986, In domain: noitaonlus.com, Out domain: oataoulus.com, In domain validation: freexxxstuff.org, Out domain validation: deerxsxstftf.org
Epoch: 76, Train Loss: 31.5637, Val Loss: 27.4620, In domain: arbitr.gov.ua, Out domain: arbibr.gou.ua, In domain validation: indrumari-juridice.eu, Out domain validation: inunumami-jujgdice.eu
Epoch: 77, Train Loss: 31.8992, Val Loss: 27.9046, In domain: novogodnij-ru.ru, Out domain: vvogngo-j-jr.ru, In domain validation: gerentedemediado.blogspot.com, Out domain validation: genendetememeodo.blogspot.com
Epoch: 78, Train Loss: 31.6395, Val Loss: 27.7988, In domain: erketai.org, Out domain: ereaiei.org, In domain validation: file-debrid.com, Out domain validation: fifd-d-bbid.com
Epoch: 79, Train Loss: 31.4496, Val Loss: 27.4915, In domain: charteko.com, Out domain: arahkoko.com, In domain validation: deeneilm.blogspot.com, Out domain validation: dnenili.blogspot.com
Epoch: 80, Train Loss: 31.5888, Val Loss: 27.4410, In domain: camsexlives.com, Out domain: cmxlxeives.com, In domain validation: yegizewkal.com, Out domain validation: yezezewlak.com
Epoch: 81, Train Loss: 31.3504, Val Loss: 27.4309, In domain: texnotropieskaidiakosmisi.com, Out domain: tgxextrtosesediaimsakmimi.com, In domain validation: webcandoo.com, Out domain validation: wbaecndnd.com
Epoch: 82, Train Loss: 31.3993, Val Loss: 27.4219, In domain: propertyforum.com, Out domain: ppepoyfyfurur.com, In domain validation: filmlla.com, Out domain validation: ilaama.com
Epoch: 83, Train Loss: 31.3486, Val Loss: 27.4142, In domain: mariecuriealumni.eu, Out domain: mrmcuiueirimloue.eu, In domain validation: 0xwarriors.com, Out domain validation: 0xwawaiois.com
Epoch: 84, Train Loss: 31.3871, Val Loss: 27.3947, In domain: flaconi.de, Out domain: floccni.ie, In domain validation: vozdyx.ru, Out domain validation: vo0d0x.ru
Epoch: 85, Train Loss: 31.8173, Val Loss: 27.7594, In domain: iranupvc.co, Out domain: aranwnwc.co, In domain validation: fab-a-porter.com, Out domain validation: bab-aoaoerer.com
Epoch: 86, Train Loss: 31.6517, Val Loss: 27.7586, In domain: sirim.my, Out domain: riric.my, In domain validation: rvindustrialtrainingchandigarh.in, Out domain validation: hvpmorsusltltinineaianahaigiro.ih
Epoch: 87, Train Loss: 31.8118, Val Loss: 27.7008, In domain: spinlock.co.uk, Out domain: spkooo.k.co.uk, In domain validation: techinexpert.com, Out domain validation: tethinenpeet.com
Epoch: 88, Train Loss: 31.6649, Val Loss: 27.6750, In domain: kujiale.com, Out domain: ukiale.com, In domain validation: zachem.com.ua, Out domain validation: hchec.com.ua
Epoch: 89, Train Loss: 31.7239, Val Loss: 27.6691, In domain: fofanov.pro, Out domain: ofavav.opo, In domain validation: andhralekha.com, Out domain validation: andalalekha.com
Epoch: 90, Train Loss: 31.5075, Val Loss: 27.6297, In domain: advokat343.ru, Out domain: amkdva4t43.ru, In domain validation: aidsrehberi.com, Out domain validation: dbdshehbiri.com
Epoch: 91, Train Loss: 31.5361, Val Loss: 27.6602, In domain: searchbind.net, Out domain: searahbdbi.net, In domain validation: s-forum.biz, Out domain validation: f-sumum.biz
