labeled,total_character,letters,numbers,special_characters,letters_number,dots,lowercase_letters,uppercase_letters,subdomains_count,subdomain1,subdomain1_letters,subdomain1_numbers,subdomain1_special,subdomain2,subdomain2_letters,subdomain2_numbers,subdomain2_special,subdomain3,subdomain3_letters,subdomain3_numbers,subdomain3_special,subdomain4,subdomain4_letters,subdomain4_numbers,subdomain4_special
1,47,34,11,1,45,1,26,8,2,39,29,10,0,7,5,1,1,0,0,0,0,0,0,0,0
0,23,22,0,0,22,1,22,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,35,11,0,46,1,26,9,2,38,30,8,0,8,5,3,0,0,0,0,0,0,0,0,0
0,13,11,0,0,11,2,11,0,2,3,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0,39,22,10,4,32,3,22,0,3,24,13,9,2,9,6,1,2,3,3,0,0,0,0,0,0
0,22,20,0,0,20,2,20,0,2,15,15,0,0,5,5,0,0,0,0,0,0,0,0,0,0
1,48,36,11,0,47,1,30,6,2,36,29,7,0,11,7,4,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,34,12,0,46,1,25,9,2,37,26,11,0,9,8,1,0,0,0,0,0,0,0,0,0
0,7,5,1,0,6,1,5,0,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52,33,11,4,44,4,33,0,4,9,9,0,0,22,10,10,2,14,11,1,2,3,3,0,0
1,136,117,15,1,132,3,74,43,4,49,44,5,0,32,29,2,1,21,19,2,0,31,25,6,0
0,7,6,0,0,6,1,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,34,13,0,47,1,26,8,2,38,29,9,0,9,5,4,0,0,0,0,0,0,0,0,0
0,9,8,0,0,8,1,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,17,9,4,26,3,17,0,3,18,8,8,2,9,6,1,2,3,3,0,0,0,0,0,0
0,16,14,0,0,14,2,14,0,2,3,3,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0,11,8,1,1,9,1,8,0,1,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15,14,0,0,14,1,14,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,16,0,1,16,2,16,0,2,4,4,0,0,13,12,0,1,0,0,0,0,0,0,0,0
1,54,44,8,1,52,1,32,12,2,38,31,7,0,15,13,1,1,0,0,0,0,0,0,0,0
1,48,39,6,2,45,1,25,14,2,35,27,6,2,12,12,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,4,1,0,5,1,4,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,126,100,21,2,121,3,64,36,4,53,46,7,0,30,25,3,2,27,20,7,0,13,9,4,0
1,8,8,0,0,8,0,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,42,10,0,52,1,26,16,2,33,24,9,0,19,18,1,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,15,0,0,15,2,15,0,2,7,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0
1,48,39,8,0,47,1,24,15,2,36,30,6,0,11,9,2,0,0,0,0,0,0,0,0,0
1,8,7,1,0,8,0,7,0,1,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,14,0,0,14,2,14,0,2,4,4,0,0,10,10,0,0,0,0,0,0,0,0,0,0
0,9,5,2,0,7,2,5,0,2,2,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0
